"","drug_activity_Cytosol","drug_activity_Cytoskeleton","drug_activity_Plasma_membrane_part","expression_Blood_and_immune_system_Low","expression_Nervous_System_Medium","expression_Respiratory_system_High","expression_Skin_and_soft_tissues_High","panther_class_id_PC00220","phenotype_MP_0005386","phenotype_MP_0005380","phenotype_MP_0005389","phenotype_MP_0005385","phenotype_MP_0003631","phenotype_MP_0005384","phenotype_MP_0005378","target2disease_Carcinoma","target2disease_Cancer","drug_activity_Extracellular_region","drug_activity_Vesicle","drug_activity_Extracellular_organelle","drug_activity_Extracellular_region_part","drug_activity_Extracellular_exosome","drug_activity_Catalytic_complex","drug_activity_Extracellular_vesicle","drug_activity_Transferase_complex","expression_Blood_and_immune_system_Medium","expression_Endocrine_System_High","expression_Male_tissues_High","expression_Nervous_System_Low","phenotype_MP_0005370","phenotype_MP_0005397","phenotype_MP_0005387","drug_activity_Nucleus","drug_activity_Nucleoplasm","drug_activity_Nuclear_lumen","drug_activity_Organelle_lumen","drug_activity_Nuclear_part","drug_activity_Intracellular_organelle_lumen","expression_Cardiovascular_System_High","expression_Skin_and_soft_tissues_Low","phenotype_MP_0005369","phenotype_MP_0005367","phenotype_MP_0005379","phenotype_MP_0005375","drug_activity_Mitochondrion","drug_activity_Endomembrane_system","drug_activity_Organelle_membrane","drug_activity_Organelle_envelope","drug_activity_Plasma_membrane_protein_complex","drug_activity_Receptor_complex","expression_Female_tissues_High","phenotype_MP_0002873","phenotype_MP_0005388","phenotype_MP_0005390","phenotype_MP_0005381","phenotype_MP_0005382","phenotype_MP_0005391","drug_activity_Integral_component_of_plasma_membrane","drug_activity_Integral_component_of_membrane","drug_activity_Intrinsic_component_of_membrane","drug_activity_Intrinsic_component_of_plasma_membrane","expression_Liver_and_Pancreas_Medium","expression_Nervous_System_High","panther_class_id_PC00197","drug_activity_Extracellular_space","expression_Urinary_Tract_High","phenotype_MP_0002006","drug_activity_Cell_surface","target2disease_Hypertension","drug_activity_Mitochondrial_inner_membrane","drug_activity_Organelle_inner_membrane","expression_Liver_and_Pancreas_High","panther_class_id_PC00121","drug_activity_Cytoplasmic_vesicle","drug_activity_Cell_projection","drug_activity_Membrane_region","drug_activity_Whole_membrane","phenotype_MP_0010771","expression_Cardiovascular_System_Low","drug_activity_Plasma_membrane_region","drug_activity_Transporter_complex","target2disease_Diabetes_mellitus","target2disease_Obesity","drug_activity_Cytoskeletal_part","drug_activity_Cytosolic_part","drug_activity_Oxidoreductase_complex","drug_activity_Mitochondrial_envelope","drug_activity_Mitochondrial_part","drug_activity_Mitochondrial_membrane","drug_activity_Extracellular_matrix","drug_activity_Endoplasmic_reticulum","expression_Blood_and_immune_system_High","target2disease_Kidney_disease","drug_activity_Chromosome","panther_class_id_PC00171","expression_Digestive_Tract_High","expression_Respiratory_system_Low","drug_activity_Bounding_membrane_of_organelle","drug_activity_Endoplasmic_reticulum_membrane","drug_activity_Endoplasmic_reticulum_part","panther_class_id_PC00207","target2disease_Type_2_Diabetes_Mellitus","panther_class_id_PC00227","panther_class_id_PC00176","target_id"
"4",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
"11",1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382
"18",1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,572
"22",1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649
"30",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862
"33",0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1283
"34",0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1354
"41",1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636
"47",1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1816
"48",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1871
"59",1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2470
"63",1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2563
"67",1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2646
"68",1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647
"73",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2736
"77",1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2850
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2975
