memory profiling: sample.interval=20000
:2163046:250545529:195134744:4:".Call" "bind_rows_" "bind_rows" 
:2163046:252028863:195787536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:253152633:196511000:0:".Call" "bind_rows_" "bind_rows" 
:2163046:253152633:196511000:0:".Call" "bind_rows_" "bind_rows" 
:2163046:253152633:196511000:0:".Call" "bind_rows_" "bind_rows" 
:2163046:253180928:196523712:0:".Call" "bind_rows_" "bind_rows" 
:2163046:254621964:197157632:0:".Call" "bind_rows_" "bind_rows" 
:2163046:255556346:197568672:0:".Call" "bind_rows_" "bind_rows" 
:2163046:256462722:197967392:0:".Call" "bind_rows_" "bind_rows" 
:2163046:257432748:198394112:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258258925:198757496:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258366841:199263512:0:".Call" "bind_rows_" "bind_rows" 
:2163046:258971805:199529904:0:".Call" "bind_rows_" "bind_rows" 
:2163046:259842537:199912944:0:".Call" "bind_rows_" "bind_rows" 
:2163046:260905203:200380096:0:".Call" "bind_rows_" "bind_rows" 
:2163046:261810595:200778704:0:".Call" "bind_rows_" "bind_rows" 
:2163046:262768875:201199936:0:".Call" "bind_rows_" "bind_rows" 
:2163046:263642442:201584544:0:".Call" "bind_rows_" "bind_rows" 
:2163046:264481349:201953584:0:".Call" "bind_rows_" "bind_rows" 
:2163046:265283339:202306384:0:".Call" "bind_rows_" "bind_rows" 
:2163046:265881649:202569584:0:".Call" "bind_rows_" "bind_rows" 
