"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"9",9,"NCT00411671",479292,1,105,105,"Adverse events will be recorded for all patients from the time of consent until 30 days following the last dose of study treatment.","Collection period: December 18, 2006 to November 13, 2010.","Sorafenib 400 mg","Sorafenib 400 mg by mouth twice daily in continuous 28 day cycles."
"10",10,"NCT00352105",500559,1,60,60,"For 2 years of the study",NA,"5-FU, Cisplatin, Radiation and Iressa","Patients undergo hyperfractionated radiotherapy twice daily, 5 days a week, beginning on day 1 and continuing for 6 weeks. Patients also receive fluorouracil IN continuously over 96 hrs. and cisplatin IV continuously over 96 hrs. on days 1-3 and 22-25 and oral gefitinib beginning once daily on day 1 and continuing for up to 2 years in the absence of disease progression or unacceptable toxicity."
"11",11,"NCT00436956",469358,1,59,59,NA,NA,"All Participants - AZD2171 & Prednisone","This group combines participants who received 20 mg AZD2171 (Cediranib) orally daily (n=35), in addition to participants who received 20 mg AZD2171 (Cediranib) orally daily plus 10mg prednisone (n=23). One pt was not evaluable due to a cord compression on day 2 of therapy; was removed from the trial (n=1)."
"14",14,"NCT00465179",458638,1,57,57,"Adverse Events (AEs) and Serious Adverse Events (SAEs) were collected from administration of study drug on day 1 of course 1 and on day 1 of all subsequent courses, up to 5 years.","Overall collection period: March 2007 to February 2015.","Sunitinib Malate","Sunitinib Malate 50 mg by mouth daily for 4 weeks, then 2 weeks off. These 6 weeks are considered 1 cycle of study treatment."
"16",16,"NCT00004888",577415,1,48,48,"Information about toxicities was collected during treatment for all treated patients and the table shows toxicities experienced by patients. These are limited to toxicities reported on case report forms. The average time period was 5-6 months.","Please note that all of these toxicities are considered at least possibly treatment related by the study chair.","Arm II: Doxorubicin, Taxotere, and Herceptin","Patients received the weekly antibody therapy with trastuzumab in addition to the induction chemotherapy with PLD and docetaxel every 3 weeks as outlined for Arm I above for a total of 8 cycles. Trastuzumab was administered 4 mg/kg IV on Day 1, then 2 mg/kg IV weekly."
"33",43,"NCT00118157",556370,1,19,19,NA,NA,"Arm 1","Patients receive oral lapatinib and oral tamoxifen once daily on days 1-28.
lapatinib ditosylate: Given orally
tamoxifen citrate: Given orally"
"43",53,"NCT00524316",437833,1,16,16,NA,NA,"Treatment: Sunitinib and Chemoembolization","Treatment: Cycle (C)1-Sunitinib 37.5mg po d1-7 followed by TACE with doxorubicin in lipodiol on d8, continued sunitinib 37.5mg po qd d15-36 followed by 2 weeks off. C2 onwards- sunitinib 4 weeks on and 2 weeks off, with dose escalation to 50 mg in pts without any grade 3 toxicities in C1."
"47",58,"NCT00918385",291252,1,14,14,NA,NA,"Arm 1=High AR Nilutamide","High Androgen Receptor (AR) activity of >= 0.50
Nilutamide: Nilutamide 150mg orally each day for 28 days per cycle. After first progression, Nilutamide 150mg orally each day in combination with Dasatinib 100mg orally each day for 28 days per cycle."
"59",71,"NCT00245128",532779,1,10,10,NA,NA,"Imatinib Mesylate (Gleevec)","Once daily oral administration of Imatinib Mesylate at a dose of 600mg for 12 months."
"73",86,"NCT01256567",180334,1,7,7,NA,NA,"Ramucirumab and Docetaxel Combination","Docetaxel: Docetaxel administered by intravenous infusion at a dose of 75 milligrams per square meter (mg/m^2) every 3 weeks.
Ramucirumab: Ramucirumab administered as an intravenous infusion at a dose of 10 milligrams per kilogram (mg/kg) every 3 weeks."
"78",94,"NCT01251653",182100,1,6,6,"From first drug administration until 28 days after last drug administration, up to 717 days",NA,"Afatinib 50mg and Docetaxel 75mg","Afatinib (film-coated tablet) 50 mg qd (once daily) was administered orally in combination with Docetaxel 75 mg/m2 administered as intravenous infusion on Day 1 of each 3- week treatment course."
"83",100,"NCT00561795",421018,1,6,6,"Enrollment to End of Study (up to a year)",NA,"A5-1","Paclitaxel 175 milligrams (mg)/square meter (m^2) plus carboplatin area under the concentration-time curve (AUC) 5 intravenously (IV) on Day 1 of a 21-day cycle for 6 cycles plus pazopanib 800 mg/day orally starting on Day 1 for the duration of the study"
"87",104,"NCT00387894",488371,1,6,6,"30 days after the last study treatment, thereafter for survival","Only AEs Grade 3 or higher were required to be collected as AEs, per protocol","Oral Erlotinib Hydrochloride (Tarceva) Daily on Days 1-28","erlotinib hydrochloride (Tarceva) self-administered in an open-label, unblinded manner to all patients enrolled in the study."
