"","nct_id","phase","completion_date","limitations_and_caveats","why_stopped","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"11","NCT00015847","Phase 2","5/1/11","Early termination; 12 month follow-up was not carried out.",NA,576639,0.32,8,25,NA,NA,"Imatinib Mesylate","Once daily oral administration of STI571 (imatinib mesylate) at a dose of 400 mg or 600mg for 12 months."
"12","NCT00022490","Phase 2","7/1/11","Study was terminated, therefore the 12 month response data was not analyzed.",NA,576522,0.541666667,13,24,NA,NA,"Cytarabine/ Imatinib Mesylate","Cytarabine: Once daily subcutaneous injection of Ara-C (Cytarabine) at a dose of 20 mg (10 mg or 5 mg if they have been dose reduced) per square meter of calculated body surface area, on days 15-28 of each sequential 28 day cycle
Imatinib Mesylate: Once daily oral administration of STI571 (Imatinib Mesylate) at a dose of 400 mg for 12 months"
"17","NCT00073008","Phase 2","7/1/08","Based on interim analysis and predefined stopping rules for futility, the study was discontinued due to lack of efficacy. At that time, no additional participants were added; enrolled participants could continue on treatment, following the protocol.","Based on interim analysis at the end of Stage 1, and predefined stopping rules for futility,   further enrollment was stopped due to lack of efficacy",570394,0.257575758,17,66,NA,NA,"Lapatinib 500 mg BID","Oral lapatinib 500 mg twice daily (BID)"
"29","NCT00098371","Phase 2","11/1/12",NA,"CTEP Initiated Action.",563156,0.0625,4,64,NA,"NCI Common Toxicity Criteria of Adverse Events (version 3) and modified NCI Common Toxicity Criteria guidelines for evaluating hematologic toxicity for leukemia was used to grade adverse events for patients. Adverse events are reported across all grades.","Treatment (Alvocidib)","Patients receive flavopiridol IV over 30 minutes followed by a 4-hour infusion on days 1, 8, 15, and 22. Treatment repeats every 42 days for up to 6 courses in the absence of disease progression or unacceptable toxicity. Patients achieving at least a partial remission (PR) and whose PR lasts for > 6 months after completion of treatment may receive 6 additional courses of flavopiridol."
"36","NCT00126568","Phase 2","9/1/11","The study met the pre-specified criteria for enrollment of all planned 32 patients. However due to poor accrual the study was halted.",NA,553895,0.4,8,20,"Adverse events were collected weekly for the duration that the patients started on treatment to end of study.",NA,"BAY 43-9006","BAY 43-9006 (sorafenib) will be administered on a fixed daily oral dosing schedule of 400 mg twice daily. A cycle of therapy will be considered 28 days (4 weeks / 1 month)."
"68","NCT00245128","Phase 2","10/1/11","Early termination/results were never analyzed due to negative study results from other similar studies.","Per PI, results from another similar study were published prior to study analysis. Negative   study results were published therefore analysis was not completed",532779,1,10,10,NA,NA,"Imatinib Mesylate (Gleevec)","Once daily oral administration of Imatinib Mesylate at a dose of 600mg for 12 months."
"70","NCT00073008","Phase 2","7/1/08","Based on interim analysis and predefined stopping rules for futility, the study was discontinued due to lack of efficacy. At that time, no additional participants were added; enrolled participants could continue on treatment, following the protocol.","Based on interim analysis at the end of Stage 1, and predefined stopping rules for futility,   further enrollment was stopped due to lack of efficacy",570395,0.230769231,15,65,NA,NA,"Lapatinib 1500 mg QD","Oral lapatinib 1500 mg once daily (QD)"
"77","NCT01428219","Phase 2","9/1/15",NA,"Closed due to slowing enrollment and negative results of a phase III trial using cabozantinib.",136555,0.64,16,25,NA,NA,"Cabozantinib (XL184)","Cabozantinib is available in capsule form. The dose is 60 mg daily by mouth. Subjects with disease progression at 6 weeks who do not have significant toxicities may remain on therapy for an additional six weeks until a progression is confirmed. Further study drug administration beyond 12 weeks will be at the discretion of the investigator provided that the subject does not have disease progression, does not have unacceptable side effects, does not withdraw from study, or does not have a medical condition or illness that renders the subject unacceptable to receive further study drug."
"91","NCT00323362","Phase 2","10/1/08",NA,"Toxicity",509917,0.588235294,10,17,"2 years",NA,"Gemcitabine Hydrochloride and Imatinib Mesylate","gemcitabine hydrochloride : 1000 mg/m2 given intravenously at a FDR of 10 mg/m2/min on Days 3 and 10, every 21 days.
imatinib mesylate : 400 mg/day orally, given Days 1-5 and 8-12 every 21 days"
"122","NCT00387426","Phase 2","2/1/09",NA,NA,488502,0.5,7,14,"2 years",NA,"Sunitinib","37.5 mg orally daily for 6-week cycle"
"143","NCT00417248","Phase 1/Phase 2","4/1/08",NA,"Negative sorafenib results from ESCAPE trial and safety concerns of regimen",477237,0.375,3,8,"Duration of OnStudy time, up to two 28 day cycles.",NA,"Cisplatin/Etoposide/Radiotherapy Followed by Sorafenib","Cisplatin/Etoposide/Radiotherapy followed by Sorafenib in patients with inoperable stage III non-small cell lung cancer
Cisplatin: Cisplatin 50 mg/m2 IV, days 1 and 8 of 28 day cycle
Etoposide: Etoposide 50 mg/m2 IV, days 1-5 of 28 day cycle
Radiotherapy: Concurrent chest radiation (planned dose is 5940 cGy with an additional, optional boost of 1080 cGy to a total allowed dose of 7020 cGy)
Sorafenib: Maintenance therapy of Sorafenib 400 mg PO BID, to begin a minimum of 6 and maximum of 9 weeks from completion of chemo-radiotherapy until PD, intolerable toxicity, or up to 6 months"
"158","NCT00447122","Phase 2","8/1/08",NA,NA,464755,0.034482759,1,29,NA,NA,"Treatment","lapatinib, 1,500 mg/day, and Gemcitabine, 1 gm/m2/week for 3 weeks followed by 1 week off, until disease progression"
