nct_id,phase,completion_date,limitations_and_caveats,why_stopped,result_group_id,#AE_probability,#AE_Subjects,#Total_Subjects,time_frame,AEdescription,Treatment,Treatment_description
NCT00001962,Phase 2,9/1/10,NA,DSMB recommended closing the study and publishing the results,577971,0.09,9,100,NA,NA,Daclizumab Hematologic Response,"daclizumab, 1 mg/kg of body weight, will be given for a total of 5 intravenous infusions. The subjects diagnosed with moderate aplastic anemia, pure red cell aplasia, Diamond Blackfan anemia, relapse and refractory severe aplastic anemia will receive treatment. The subjects will be seen and receive the daclizumab infusion biweekly during the treatment period. The Diamond Blackfan anemia arm was closed due to lack of accrual."
NCT00003910,Phase 2,3/1/12,NA,NA,577603,0.5,8,16,Assessed every 30 days while on treatment and for 30 days after the end of treatment.,"Here we look at all patients, all 59, whereas we excluded the ineligible patients from the baseline tables etc (n=55) as is standard to do in our final reports for ECOG.",Cyclophosphamide,step 2 patients who received CY
NCT00003910,Phase 2,3/1/12,NA,NA,577604,0.949152542,56,59,Assessed every 30 days while on treatment and for 30 days after the end of treatment.,"Here we look at all patients, all 59, whereas we excluded the ineligible patients from the baseline tables etc (n=55) as is standard to do in our final reports for ECOG.",Methotrexate,MTX given orally at 10 mg/m2 in divided doses once weekly. Prednisone was given orally at 1 mg/kg per day for 30 days and then tapered off in the subsequent 24 days. Patients not responding to MTX after 4 months received Cy orally at 100 mg daily in step two with the same prednisone schedule.
NCT00012298,Phase 1/Phase 2,4/1/10,NA,Trial completed prematurely.,576729,0.363636364,4,11,NA,NA,"Treatment: Trial 1, Dose Level 1",0.2 mCi/kg Yttrium (Y-90 ibritumomab tiuxetan (IDEC-90Y2B8) IV over 10 minutes on day 8
NCT00012298,Phase 1/Phase 2,4/1/10,NA,Trial completed prematurely.,576724,0.166666667,1,6,NA,NA,"Treatment: Trial 3, Dose Level 6","50 micrograms/kg Interleukin-11 SC when PLT counts less than 150,000."
NCT00012298,Phase 1/Phase 2,4/1/10,NA,Trial completed prematurely.,576728,0.714285714,5,7,NA,NA,"Treatment: Trial 1, Dose Level 2",0.3 mCi/kg Yttrium (Y-90 ibritumomab tiuxetan (IDEC-90Y2B8) IV over 10 minutes on day 8
NCT00012298,Phase 1/Phase 2,4/1/10,NA,Trial completed prematurely.,576723,0.153846154,6,39,NA,NA,Treatment : Phase II (Dose Level 6),"50 micrograms/kg Interleukin-11 SC when PLT counts less than 150,000."
NCT00012298,Phase 1/Phase 2,4/1/10,NA,Trial completed prematurely.,576726,0.5,2,4,NA,NA,"Treatment: Trial 2, Dose Level 4","50 micrograms/kg Interleukin-11 SC when PLT counts less than 75,000."
NCT00012298,Phase 1/Phase 2,4/1/10,NA,Trial completed prematurely.,576727,0.444444444,4,9,NA,NA,"Treatment: Trial 2, Dose Level 3","50 micrograms/kg Interleukin-11 SC when PLT counts less than 75,000."
NCT00012298,Phase 1/Phase 2,4/1/10,NA,Trial completed prematurely.,576725,0.2,1,5,NA,NA,"Treatment: Trial 3, Dose Level 5","50 micrograms/kg Interleukin-11 SC when PLT counts less than 150,000."
NCT00015847,Phase 2,5/1/11,Early termination; 12 month follow-up was not carried out.,NA,576639,0.32,8,25,NA,NA,Imatinib Mesylate,Once daily oral administration of STI571 (imatinib mesylate) at a dose of 400 mg or 600mg for 12 months.
NCT00022490,Phase 2,7/1/11,"Study was terminated, therefore the 12 month response data was not analyzed.",NA,576522,0.541666667,13,24,NA,NA,Cytarabine/ Imatinib Mesylate,"Cytarabine: Once daily subcutaneous injection of Ara-C (Cytarabine) at a dose of 20 mg (10 mg or 5 mg if they have been dose reduced) per square meter of calculated body surface area, on days 15-28 of each sequential 28 day cycleImatinib Mesylate: Once daily oral administration of STI571 (Imatinib Mesylate) at a dose of 400 mg for 12 months"
NCT00058214,Phase 2,1/1/09,"Study was terminated early after the first stage of a two-stage design, allowing for early termination for discouraging results.",Did not meet interim stopping criteria for continuation to the second stage.,572329,0.04,1,25,Adverse events were collected over a 60 month period.,Other Adverse Events include all events that were not severe adverse events regardless of grade or relation to treatment.,Treatment (Perifosine),"Patients receive oral perifosine 100 mg once daily on days 1-28. On day 1 of course 1 only, patients receive 2 doses of oral perifosine at 450 mg. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. Patients with progressive disease by PSA alone may receive up to 3 additional courses of therapy after documentation of progression.perifosine: Given orallylaboratory biomarker analysis: Correlative studies"
NCT00069329,Phase 1/Phase 2,4/1/10,Data reported is on 26 patients who completed their 3 year assessment and 20 of these patients also completed their 5 year assessment.,data submitted for Food and Drug Administration (FDA) approval,570983,0.418604651,18,43,NA,NA,NOMID,Patients who met the criteria for NOMID and treated with escalating doses of anakinra 1-5 mg/kg/day to achieve laboratory and organ inflammation remission.
NCT00072189,Phase 2,3/1/10,"Study was terminated early after the first stage of a two-stage design, allowing for early termination for discouraging results",Early termination for discouraging results,570452,0.411764706,7,17,Collected over a period of 24 months.,Other Adverse Events include all events that were not severe adverse events regardless of grade or relation to treatment.,Arm 1,"Patients receive UCN-01 IV at 90 mg/m2 over 3 hours on cycle 1, reduced to 45 mg/m2 over 3 hours for subsequent cycles. Cycles repeat every 21 days in the absence of disease progression or unacceptable toxicity.7-hydroxystaurosporine: Given IVlaboratory biomarker analysis: Correlative studiespharmacological study: Correlative studies"
NCT01365130,Phase 2,8/1/13,NA,As of 12/12/12 study closed to enrollment because study was determined to be ineffective.,149981,0.384615385,5,13,NA,NA,Real Drug,"patients will receive Jevtana 25mg/m2, IV every 21 days until disease progression or unacceptable toxicityjevtana: Cabazitaxel 25mg/m2, IV every 21 days until progression"
NCT00073008,Phase 2,7/1/08,"Based on interim analysis and predefined stopping rules for futility, the study was discontinued due to lack of efficacy. At that time, no additional participants were added; enrolled participants could continue on treatment, following the protocol.","Based on interim analysis at the end of Stage 1, and predefined stopping rules for futility,   further enrollment was stopped due to lack of efficacy",570394,0.257575758,17,66,NA,NA,Lapatinib 500 mg BID,Oral lapatinib 500 mg twice daily (BID)
NCT00076804,Phase 2,9/1/08,"Intervention was stopped at 12 months, transition phase did not ensure that participants developed a set of adherence strategies to replace DOT-ART. Low incidence of AIDS-defining illness and death limit our ability to make final conclusions",DSMB stopped trial for futility,569529,0.138686131,19,137,Adverse Event data was collected throughout the duration of the study. It was assessed at each clinic visit and if the subject presented between visits.,NA,Peer Supporter,Use of a patient nominated peer supporter who sill observe the morning dose of ARVs
NCT00076804,Phase 2,9/1/08,"Intervention was stopped at 12 months, transition phase did not ensure that participants developed a set of adherence strategies to replace DOT-ART. Low incidence of AIDS-defining illness and death limit our ability to make final conclusions",DSMB stopped trial for futility,569528,0.211678832,29,137,Adverse Event data was collected throughout the duration of the study. It was assessed at each clinic visit and if the subject presented between visits.,NA,Self Administration,Self administration of ARVs
NCT00084487,Phase 2,4/1/08,NA,NA,568097,0.35,7,20,"Adverse events were collected while patients were on study, up to four years.",NA,Treatment (Rebeccamycin Analogue),"Patients receive rebeccamycin analogue IV over 1 hour on days 1-5. Treatment repeats every 21 days for 6 courses in the absence of disease progression or unacceptable toxicity.becatecarin : Given IV"
NCT00088881,Phase 2,3/1/11,NA,NA,567176,0.821428571,46,56,Assessed every 3 weeks while on treatment and for 30 days after the end of treatment,NA,Step 2 - Zevalin䋢 Radioimmunotherapy,"Beginning no more than 9 weeks after the last course of R-CHOP, patients receive rituximab IV on day 1 followed by indium In 111 ibritumomab tiuxetan IV over 10 minutes for imaging studies. Patients then receive rituximab IV followed by yttrium Y 90 ibritumomab tiuxetan IV over 10 minutes on day 8."
NCT00088881,Phase 2,3/1/11,NA,NA,567177,0.709677419,44,62,Assessed every 3 weeks while on treatment and for 30 days after the end of treatment,NA,Step 1 - R-CHOP,"Patients receive R-CHOP every 21 days for 2 courses in the absence of disease progression or unacceptable toxicity. Patients achieving a complete response (CR) after 2 courses receive 2 additional courses. Patients achieving a partial response, uncertain CR, or stable disease receive 4 additional courses. Patients are evaluated 3 weeks after the last course of therapy. Patients with progressive disease go off study."
NCT00089076,Phase 1/Phase 2,10/1/09,NA,NA,567145,0.444444444,8,18,NA,NA,MDX-010,Patients receive anti-cytotoxic T-lymphocyte-associated antigen-4 monoclonal antibody (MDX-010) IV over 90 minutes on day 1. Treatment repeats every 28 days for a total of 4 courses in the absence of disease progression or unacceptable toxicity.
NCT00089544,Phase 2,12/1/12,This study closed early due to unacceptably high rate of thromboembolic events in Cohort A and due to low accrual in Cohort B. For this reason efficacy endpoints other than response to pre-operative therapy were not reported.,NA,567006,0.428571429,3,7,NA,"Per the protocol, toxicity data was collected via CTCAE3.0 then mapped to CTCAE 4.0 for reporting on this website. Subjects experiencing more than one of a given SAE are counted only once for that SAE. Subjects experiencing more than one of a given Other (Not Including Serious) AE are counted only once for that Other (Not Including Serious) AE.","Cohort B (Thalidomide, Radiation, Surgery)","Patients receive oral thalidomide once daily beginning on day 1 and continuing until 1 week before surgery. Patients undergo radiotherapy once daily, 5 days a week, on weeks 1-5. Patients undergo surgical resection between days 77 and 91. Beginning 2 weeks after surgery, patients receive oral thalidomide once daily for 6 months in the absence of unacceptable toxicity."
