id,name,tdl,idgfam,y
28,Adenosine receptor A2b,Tclin,GPCR,1
492,Adrenocorticotropic hormone receptor,Tclin,GPCR,1
1730,B2 bradykinin receptor,Tclin,GPCR,1
2719,C-C chemokine receptor type 4,Tclin,GPCR,1
1857,Calcitonin receptor,Tclin,GPCR,1
2361,Cholecystokinin receptor type A,Tclin,GPCR,1
3675,Corticotropin-releasing factor receptor 1,Tclin,GPCR,1
6187,Follicle-stimulating hormone receptor,Tclin,GPCR,1
6518,Gamma-aminobutyric acid type B receptor subunit 1,Tclin,GPCR,1
6766,Glucagon receptor,Tclin,GPCR,1
6904,Glucagon-like peptide 2 receptor,Tclin,GPCR,1
6916,Gonadotropin-releasing hormone receptor,Tclin,GPCR,1
6651,Growth hormone secretagogue receptor type 1,Tclin,GPCR,1
6688,Growth hormone-releasing hormone receptor,Tclin,GPCR,1
7396,Hydroxycarboxylic acid receptor 2,Tclin,GPCR,1
9757,Lutropin-choriogonadotropic hormone receptor,Tclin,GPCR,1
10682,Melanocyte-stimulating hormone receptor,Tclin,GPCR,1
10669,Melatonin receptor type 1A,Tclin,GPCR,1
10670,Melatonin receptor type 1B,Tclin,GPCR,1
12071,Orexin receptor type 1,Tclin,GPCR,1
11978,Orexin receptor type 2,Tclin,GPCR,1
12433,Oxytocin receptor,Tclin,GPCR,1
13808,Parathyroid hormone/parathyroid hormone-related peptide receptor,Tclin,GPCR,1
12931,Prostacyclin receptor,Tclin,GPCR,1
12852,Prostaglandin D2 receptor,Tclin,GPCR,1
12957,Prostaglandin F2-alpha receptor,Tclin,GPCR,1
12684,Proteinase-activated receptor 1,Tclin,GPCR,1
15697,Secretin receptor,Tclin,GPCR,1
15950,Smoothened homolog,Tclin,GPCR,1
16503,Somatostatin receptor type 1,Tclin,GPCR,1
16665,Somatostatin receptor type 2,Tclin,GPCR,1
16666,Somatostatin receptor type 3,Tclin,GPCR,1
16504,Somatostatin receptor type 4,Tclin,GPCR,1
15318,Sphingosine 1-phosphate receptor 1,Tclin,GPCR,1
15015,Sphingosine 1-phosphate receptor 3,Tclin,GPCR,1
15065,Sphingosine 1-phosphate receptor 4,Tclin,GPCR,1
15247,Sphingosine 1-phosphate receptor 5,Tclin,GPCR,1
18303,Thyrotropin receptor,Tclin,GPCR,1
18197,Thyrotropin-releasing hormone receptor,Tclin,GPCR,1
425,Type-1 angiotensin II receptor,Tclin,GPCR,1
18654,Vasopressin V1b receptor,Tclin,GPCR,1
196,Acetylcholine receptor subunit alpha,Tclin,IC,1
344,Acetylcholine receptor subunit delta,Tclin,IC,1
435,Acetylcholine receptor subunit epsilon,Tclin,IC,1
436,Acetylcholine receptor subunit gamma,Tclin,IC,1
15380,Amiloride-sensitive sodium channel subunit alpha,Tclin,IC,1
15619,Amiloride-sensitive sodium channel subunit beta,Tclin,IC,1
15290,Amiloride-sensitive sodium channel subunit gamma,Tclin,IC,1
709,Anoctamin-1,Tclin,IC,1
8502,ATP-sensitive inward rectifier potassium channel 11,Tclin,IC,1
8567,Calcium-activated potassium channel subunit alpha-1,Tclin,IC,1
3053,Chloride channel protein 2,Tclin,IC,1
6535,Gamma-aminobutyric acid receptor subunit alpha-3,Tclin,IC,1
6636,Gamma-aminobutyric acid receptor subunit delta,Tclin,IC,1
6637,Gamma-aminobutyric acid receptor subunit gamma-1,Tclin,IC,1
6638,Gamma-aminobutyric acid receptor subunit pi,Tclin,IC,1
6542,Gamma-aminobutyric acid receptor subunit theta,Tclin,IC,1
7022,Glutamate receptor 1,Tclin,IC,1
7127,Glutamate receptor 2,Tclin,IC,1
6950,Glutamate receptor 3,Tclin,IC,1
7222,Glutamate receptor 4,Tclin,IC,1
7067,"Glutamate receptor ionotropic, kainate 1",Tclin,IC,1
7183,"Glutamate receptor ionotropic, kainate 2",Tclin,IC,1
